statement_id,statement_text,framework_id,control_id,control_title,coverage,confidence,rationale
P1,All employees must complete security awareness training within 30 days of their start date and repeat the training every twelve months.,ISO_IEC_27001_2022,A.6.3,"Information security awareness, education and training",full,0.95,Requires security awareness training on hire and annually.
P1,All employees must complete security awareness training within 30 days of their start date and repeat the training every twelve months.,NIST_SP_800-53_R5,AT-2,Literacy Training and Awareness,full,0.95,Requires awareness training on hire and annually.
P1,All employees must complete security awareness training within 30 days of their start date and repeat the training every twelve months.,SOC2_TSC_2017,CC1.4,Commitment to competence,full,0.9,Develops competent personnel via required training.
P2,"Access to production systems is granted on a least-privilege basis. Requests must be approved by the system owner, and access rights are reviewed every quarter.",ISO_IEC_27001_2022,A.5.15,Access control,full,0.92,Defines least-privilege access control rules.
P2,"Access to production systems is granted on a least-privilege basis. Requests must be approved by the system owner, and access rights are reviewed every quarter.",NIST_SP_800-53_R5,AC-2,Account Management,full,0.88,Requires owner approval and quarterly access review.
P2,"Access to production systems is granted on a least-privilege basis. Requests must be approved by the system owner, and access rights are reviewed every quarter.",NIST_SP_800-53_R5,AC-6,Least Privilege,full,0.93,States access is granted on a least-privilege basis.
P2,"Access to production systems is granted on a least-privilege basis. Requests must be approved by the system owner, and access rights are reviewed every quarter.",SOC2_TSC_2017,CC6.1,Logical access security measures,full,0.92,Implements least-privilege logical access measures.
P2,"Access to production systems is granted on a least-privilege basis. Requests must be approved by the system owner, and access rights are reviewed every quarter.",SOC2_TSC_2017,CC6.2,User registration and authorization,full,0.88,Requires owner authorization before granting access.
P2,"Access to production systems is granted on a least-privilege basis. Requests must be approved by the system owner, and access rights are reviewed every quarter.",SOC2_TSC_2017,CC6.3,Access based on roles and responsibilities,partial,0.74,Requires quarterly review of access rights.
P3,Multi-factor authentication is required for all remote access to the corporate network and for any access to systems holding regulated data.,ISO_IEC_27001_2022,A.5.17,Authentication information,partial,0.68,Touches handling of authentication information.
P3,Multi-factor authentication is required for all remote access to the corporate network and for any access to systems holding regulated data.,ISO_IEC_27001_2022,A.8.5,Secure authentication,full,0.91,"Requires MFA, a secure authentication mechanism."
P3,Multi-factor authentication is required for all remote access to the corporate network and for any access to systems holding regulated data.,NIST_SP_800-53_R5,AC-17,Remote Access,full,0.92,Requires MFA specifically for remote access.
P3,Multi-factor authentication is required for all remote access to the corporate network and for any access to systems holding regulated data.,NIST_SP_800-53_R5,IA-2,Identification and Authentication (Organizational Users),full,0.9,Requires MFA to authenticate users for access.
P3,Multi-factor authentication is required for all remote access to the corporate network and for any access to systems holding regulated data.,SOC2_TSC_2017,CC6.1,Logical access security measures,full,0.9,Requires MFA as a logical access measure.
P3,Multi-factor authentication is required for all remote access to the corporate network and for any access to systems holding regulated data.,SOC2_TSC_2017,CC6.6,Protection against external threats,full,0.89,Protects remote access from outside the boundary.
P4,"Passwords must be at least 14 characters, are rotated at least annually, and are stored only as salted hashes. Shared credentials are prohibited.",ISO_IEC_27001_2022,A.5.17,Authentication information,full,0.93,Governs passwords as authentication information.
P4,"Passwords must be at least 14 characters, are rotated at least annually, and are stored only as salted hashes. Shared credentials are prohibited.",NIST_SP_800-53_R5,IA-5,Authenticator Management,full,0.94,"Sets password length, rotation, and hashed storage."
P4,"Passwords must be at least 14 characters, are rotated at least annually, and are stored only as salted hashes. Shared credentials are prohibited.",SOC2_TSC_2017,CC6.1,Logical access security measures,full,0.91,Sets credential strength and storage requirements.
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,ISO_IEC_27001_2022,A.8.20,Networks security,partial,0.38,Mentions the corporate network in passing.
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,ISO_IEC_27001_2022,A.8.24,Use of cryptography,full,0.92,Specifies cryptography for data at rest and in transit.
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,NIST_SP_800-53_R5,SC-13,Cryptographic Protection,full,0.85,"Specifies approved cryptography (AES-256, TLS)."
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,NIST_SP_800-53_R5,SC-28,Protection of Information at Rest,full,0.93,Requires customer data encrypted at rest.
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,NIST_SP_800-53_R5,SC-7,Boundary Protection,partial,0.4,"Mentions the network, loosely related to boundaries."
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,SOC2_TSC_2017,C1.2,Protection of confidential information,partial,0.7,Protects confidential customer data at rest.
P5,All customer data is encrypted at rest using AES-256 and encrypted in transit using TLS 1.2 or higher.,SOC2_TSC_2017,CC6.7,Restriction of information in transit,full,0.92,Protects data in transit via TLS.
P6,"Security-relevant logs from production systems are collected centrally, retained for at least one year, and reviewed weekly for anomalous activity.",ISO_IEC_27001_2022,A.8.15,Logging,full,0.9,Requires central log collection and retention.
P6,"Security-relevant logs from production systems are collected centrally, retained for at least one year, and reviewed weekly for anomalous activity.",ISO_IEC_27001_2022,A.8.16,Monitoring activities,partial,0.7,Requires weekly review for anomalous activity.
P6,"Security-relevant logs from production systems are collected centrally, retained for at least one year, and reviewed weekly for anomalous activity.",NIST_SP_800-53_R5,AU-2,Event Logging,partial,0.7,Implies which events are logged centrally.
P6,"Security-relevant logs from production systems are collected centrally, retained for at least one year, and reviewed weekly for anomalous activity.",NIST_SP_800-53_R5,AU-6,"Audit Record Review, Analysis, and Reporting",full,0.9,Requires weekly review of logs for anomalies.
P6,"Security-relevant logs from production systems are collected centrally, retained for at least one year, and reviewed weekly for anomalous activity.",SOC2_TSC_2017,CC4.1,Monitoring of controls,partial,0.42,Loosely resembles monitoring of controls.
P6,"Security-relevant logs from production systems are collected centrally, retained for at least one year, and reviewed weekly for anomalous activity.",SOC2_TSC_2017,CC7.2,Monitoring for anomalies,full,0.9,Monitors logs for anomalous activity.
P7,Suspected security incidents must be reported to the security team within one hour of discovery. The team follows a documented incident response runbook.,ISO_IEC_27001_2022,A.5.24,Information security incident management planning and preparation,full,0.88,References a documented incident response runbook.
P7,Suspected security incidents must be reported to the security team within one hour of discovery. The team follows a documented incident response runbook.,ISO_IEC_27001_2022,A.5.26,Response to information security incidents,full,0.9,Requires response to suspected incidents.
P7,Suspected security incidents must be reported to the security team within one hour of discovery. The team follows a documented incident response runbook.,NIST_SP_800-53_R5,IR-6,Incident Reporting,full,0.92,Requires incident reporting within one hour.
P7,Suspected security incidents must be reported to the security team within one hour of discovery. The team follows a documented incident response runbook.,SOC2_TSC_2017,CC7.3,Evaluation of security events,full,0.88,Evaluates and reports suspected incidents.
P7,Suspected security incidents must be reported to the security team within one hour of discovery. The team follows a documented incident response runbook.,SOC2_TSC_2017,CC7.4,Incident response,full,0.9,Executes a documented incident response runbook.
P8,"Vulnerability scans of internet-facing systems are performed monthly, and critical findings are remediated within fifteen days.",ISO_IEC_27001_2022,A.8.8,Management of technical vulnerabilities,full,0.91,Requires vulnerability scanning and remediation.
P8,"Vulnerability scans of internet-facing systems are performed monthly, and critical findings are remediated within fifteen days.",NIST_SP_800-53_R5,RA-5,Vulnerability Monitoring and Scanning,full,0.91,Requires monthly vulnerability scanning.
P8,"Vulnerability scans of internet-facing systems are performed monthly, and critical findings are remediated within fifteen days.",NIST_SP_800-53_R5,SI-2,Flaw Remediation,partial,0.75,Requires remediation of critical findings.
P8,"Vulnerability scans of internet-facing systems are performed monthly, and critical findings are remediated within fifteen days.",SOC2_TSC_2017,CC7.1,Detection of vulnerabilities,full,0.91,Detects vulnerabilities via monthly scanning.
P10,"Backups of critical systems are taken daily, encrypted, and tested for restorability on a quarterly basis.",ISO_IEC_27001_2022,A.8.13,Information backup,full,0.93,"Requires daily, tested information backups."
